countryCode,countryName,popularDays,memo
JP,일본,"7,10,14",인천 출국 1순위
TH,태국,"7,10",
VN,베트남,"10,14",
PH,필리핀,"7,10",
US,미국,"15,30",
EU,유럽,"14,30",EU 33개국 묶음
TW,대만,"7,10",
CN,중국,"7,14",
AU,호주,"10,14",
